🔵 DB Name (A),🟢 Category (B),🟡 Correct Product Name (C),🟡 Brand (D),🟢 VAT% (E),🟢 Base Unit (F),🟢 Base Cost KES (G),🟢 Base Sell KES (H),🟢 Base Stock (I),🟡 Barcode (J),🟢 L1 Pack Name (K),🟠 L1 Qty in Base (L),🟢 L1 Cost KES (M),🟢 L1 Sell KES (N),🟢 L1 Stock (O),🟢 L2 Pack Name (P),🟠 L2 Qty in L1 (Q),🟢 L2 Cost KES (R),🟢 L2 Sell KES (S),🟢 L2 Stock (T),🟡 Reorder Point (U),🟡 Lead Time Days (V),System Notes (W — do not edit)
AL ANYQ CHOCOLETE12 OUT,Snacks - Chocolate,,,16,Carton,4365,5000,0,,Outer,,364,450,0,Carton,,4365,5000,0,,,
AL BARAKA SAAD TIMIR STT,Other - General Merchandise,,,16,Kilogram,235,300,150,,,,,,,Bag,,2350,2800,15,,,
AL BARAKAT BASMAT 25KG SB3,Staples - Flour & Ugali,,,0,Bag,3200,3500,0,,,,,,,Bag,,3200,3500,0,,,
AL BEDRI UUNSI,Incense & Fragrance,,,16,Piece,120,200,20,,,,,,,,,,,,,,
AL BURAQ RICE 25G SB3,Staples - Rice,,,0,Bag,2950,2800,0,,,,,,,Bag,,2950,2800,0,,,
Al Faiz Biscuits,Snacks - Biscuits & Cookies,,,16,Piece,35,70,34,,,,,,,Carton,,1700,1850,0.7,,,
Al Fanar Fruit Juice 200ml,Beverages - Juice & Drinks,,,16,Carton,650,750,0,,,,,,,Carton,,650,750,0,,,
AL FRESH LONG LIFE 18*500M,Other - General Merchandise,,,16,Carton,980,1100,0,,,,,,,Carton,,980,1100,0,,,
Al Habiib Long Grain Rice,Staples - Rice,,,0,Kilogram (1kg),164,200,58.8,,,,,,,Bag,,4100,5000,2.4,,,
Al Habiib Long Grain Rice 10Kg,Staples - Rice,,,0,Piece,1700,2000,9,,,,,,,Bag,,6800,8000,2.3,,,
Al Huda Milk Powder 2.5Kg,Dairy - Milk,,,0,Piece,2417,2600,1,,,,,,,Carton,,14500,15000,0.2,,,
Al Jazira Extra Virgin Olive Oil 250Ml,Cooking Oil,,,16,Piece,238,300,37,,,,,,,Carton,,2850,3000,3.1,,,
Al Jazira Extra Virgin Olive Oil 3L,Cooking Oil,,,16,Piece,350,400,127,,,,,,,Carton,,4200,5000,10.6,,,
AL MURSHID 4*10KG STT,Other - General Merchandise,,,16,Piece,2250,2250,0,,,,,,,Bag,4,9000,9000,0,,,"Name contains ""4*10KG"" — suggests 4 units per pack — pre-filled as L2 qty"
Al Noor Natural Honey 2.5Kg,Condiments - Honey & Spreads,,,16,Piece,1500,1800,0,,,,,,,Carton,,6000,8000,0,,,
Al Noor Natural Honey 400g,Condiments - Honey & Spreads,,,16,Piece,350,500,3,,,,,,,Carton,,4200,5800,0.3,,,
AL RIMAL TENDE,Other - General Merchandise,,,16,Carton,1300,1600,0,,,,,,,Carton,,1300,1600,0,,,
AL SABAH RICE 25KG-STT,Staples - Rice,,,0,Piece,160,200,466.5,,,,,,,Carton,,4000,4500,18.7,,,
AL SAYAAD QULUB PERFUM,Other - General Merchandise,,,16,Piece,680,1200,0,,,,,,,,,,,,,,
AL SHAFAA OLIVE 12*1LTR,Cooking Oil,,,16,Piece,533,650,0,,,,,,,Carton,12,6400,8000,0,,,"Name contains ""12*1L"" — suggests 12 units per pack — pre-filled as L2 qty"
Al Shamis Tomato Paste 800g,Tomato Paste & Sauce,,,16,Carton,1340,1500,0,,,,,,,Carton,,1340,1500,0,,,
Al Shifa Long Grain Rice 25Kg,Staples - Rice,,,16,Kilogram (1kg),160,200,0,,,,,,,Bag,,4000,4500,0,,,
AL SHIFA PERFUME,Personal Care - Perfume,,,16,Piece,1100,1500,1,,,,,,,,,,,,,,
AL YOOM MILK 2.5,Dairy - Milk,,,16,Piece,1266,1800,0,,,,,,,,,,,,,,
Alana Vitamin C Lotion Glycerine 200ml,Personal Care - Skin Care,,,16,Piece,106,292,152,,,,,,,Carton,,1270,3500,12.7,,,
ALBINA CAKE 36P,Snacks - Cakes & Donuts,,,16,Box,900,1250,0,,Box,,900,1250,0,,,,,,,,
ALBINA CAKE BIG 6*24,Snacks - Cakes & Donuts,,,16,Carton,2200,3300,0,,Outer,,367,550,0,Carton,,2200,3300,0,,,
ALDANAMANYA PASHA 450G,Other - General Merchandise,,,16,Piece,148,200,0,,,,,,,,,,,,,,
ALDIVA BREAK CAKE 6X24X 40G,Snacks - Biscuits & Cookies,,,16,Outer,600,620,0,,Outer,24,600,620,0,,,,,,,,"Name contains ""24X 40G"" — suggests 24 units per pack — pre-filled as L1 qty"
ALDIVA NUCKREAM 500G,Snacks - Biscuits & Cookies,,,16,Piece,325,500,0,,,,,,,,,,,,,,
ALFA RICE 25KG-SB3,Staples - Rice,,,16,Bag,3150,3300,0,,,,,,,Bag,,3150,3300,0,,,
ALFA WARDAAT ATAR,Other - General Merchandise,,,16,Piece,700,1500,0,,,,,,,,,,,,,,
ALGO MASADAD SMOLL,Condiments - Spices & Chili,,,16,Piece,140,167,0,,Box,,2520,2650,0,,,,,,,,
ALGO MASASAD BIG280ML,Other - General Merchandise,,,16,Piece,190,250,0,,,,,,,,,,,,,,
ALGO MASASAD smoll270M,Other - General Merchandise,,,16,Piece,145,200,0,,,,,,,,,,,,,,
ALMOND HAIR 500ML,Snacks - Nuts,,,16,Piece,400,600,0,,,,,,,,,,,,,,
ALOE EVA OFFER OIL 1+1,Cooking Oil,,,16,Piece,400,800,0,,,,,,,,,,,,,,
ALOE EVA SPECAIL OFFER,Other - General Merchandise,,,16,Piece,400,800,0,,,,,,,,,,,,,,
ALPELLA RING 6*27G,Other - General Merchandise,,,16,Carton,2950,3500,0,,Outer,6,492,583,0,Carton,,2950,3500,0,,,"Name contains ""6*27G"" — suggests 6 units per pack — pre-filled as L1 qty"
Alpha Plus Follow On Formula 400g,Baby Care - Infant Formula,,,0,Piece,1300,1600,1,,,,,,,,,,,,,,
ALTUNZA JUICE 9GM,Beverages - Juice & Drinks,,,16,Carton,4000,4500,0,,,,,,,Carton,,4000,4500,0,,,
ALWAYS 16*7 BLUE  STT,Personal Care - Sanitary,,,0,Carton,1677,1850,25,,,,,,,Carton,,1677,1850,25,,,
ALWAYS 24*8 RED STT,Personal Care - Sanitary,,,0,Carton,2481,2600,4,,,,,,,Carton,,2481,2600,4,,,
ALWAYS RED 12*8 STT,Personal Care - Sanitary,,,0,Carton,1240,1500,27,,,,,,,Carton,,1240,1500,27,,,
Always Softcare Baby Diapers,Personal Care - Sanitary,,,0,Carton,1470,1900,1.5,,Outer,,367,475,6,Carton,,1470,1900,1.5,,,
Amaize Premium Maize Flour 1Kg,Staples - Flour & Ugali,,,0,Piece,96,150,48,,,,,,,Bale,,2300,2500,2,,,
Amana Rosecoco Beans 1Kg,Staples - Pulses & Legumes,,,0,Piece,92,104,0,,,,,,,Bale,,2200,2500,0,,,
AMARA LOTOIN*12*400ML,Other - General Merchandise,,,16,Piece,183,300,142,,,,,,,Carton,12,2200,2500,11.8,,,"Name contains ""12*400ML"" — suggests 12 units per pack — pre-filled as L2 qty"
AMAZON BEANS420*24,Staples - Pulses & Legumes,,,16,Piece,81,120,0,,,,,,,Carton,,1950,2100,0,,,
AMEERATI PEREFUME,Personal Care - Perfume,,,16,Piece,1350,1500,3,,,,,,,,,,,,,,
AMERA PERFUME,Personal Care - Perfume,,,16,Piece,1200,1500,1,,,,,,,,,,,,,,
AMERICAN PEANUT 12*510G,Snacks - Nuts,,,16,Piece,295,208,1,,,,,,,Carton,12,3540,4000,0.1,,,"Name contains ""12*510G"" — suggests 12 units per pack — pre-filled as L2 qty"
American Tomato Ketchup 710g,Tomato Paste & Sauce,,,16,Piece,280,500,0,,,,,,,Carton,,4366,6000,12.8,,,
AMIRA CATAR,Other - General Merchandise,,,16,Piece,1150,1500,0,,,,,,,,,,,,,,
AMIRA RICE 4*10KG STT,Staples - Rice,,,16,Piece,1625,2000,0,,,,,,,Bag,4,6500,7000,0,,,"Name contains ""4*10KG"" — suggests 4 units per pack — pre-filled as L2 qty"
Amira Shampoo 1380ml,Personal Care - Hair Care,,,16,Piece,190,250,0,,,,,,,Carton,,2280,31200,0,,,
ANAA WA ANTA ATAR,Other - General Merchandise,,,16,Piece,570,1000,0,,,,,,,,,,,,,,
ANALOGUE CREAM QISHTA,Dairy - Cream & Whipping,,,16,Piece,119,167,2,,,,,,,Carton,,5700,8000,0,,,
ANATOLI M BIG,Staples - Pasta & Noodles,,,16,Piece,92,2000,18,,,,,,,Carton,,1850,2000,0.9,,,
ANATOLI M CIDI,Staples - Pasta & Noodles,,,16,Piece,92,200,107,,,,,,,Carton,,1850,2000,5.3,,,
ANATOLI M SMALL,Staples - Pasta & Noodles,,,16,Piece,92,200,9,,,,,,,Carton,,1850,2000,0.5,,,
Anfac Long Grain Rice 10Kg,Staples - Rice,,,0,Bag,8950,9600,1.3,,Packet,,2238,2400,5,Bag,,8950,9600,1.3,,,
Anfac Long Grain Rice 25Kg,Staples - Rice,,,0,Bag,5350,6000,4,,,,,,,Bag,,5350,6000,4,,,
ANGELINA BALBALAAR,Other - General Merchandise,,,16,Piece,90,125,20,,,,,,,Carton,,1800,2500,1,,,
ANGHAM PERFUME,Personal Care - Perfume,,,16,Carton,1000,1500,0,,,,,,,Carton,,1000,1500,0,,,
ANKARA SP SB3,Staples - Pasta & Noodles,,,16,Carton,1150,1300,0,,,,,,,Carton,,1150,1300,0,,,
ANKARA STT,Staples - Flour & Ugali,,,16,Piece,105,120,307,,,,,,,Carton,,2098,2250,15.3,,,
ANTELOPE 12*2KG SB3,Other - General Merchandise,,,16,Bale,1420,1500,0,,,,,,,Bale,12,1420,1500,0,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L2 qty"
ANTELOPE 1KG STT,Other - General Merchandise,,,16,Bag,1460,1650,0,,,,,,,Bag,,1460,1650,0,,,
ANTELOPE 2KG STT,Other - General Merchandise,,,16,Piece,131,129,0,,,,,,,Bale,,1572,1550,0,,,
ANTELOPE H.B 500G STT,Other - General Merchandise,,,16,Bale,785,900,0,,,,,,,Bale,,785,900,0,,,
APEX HARPIC 750ML,Cleaning - Toilet & Bathroom,,,16,Piece,292,4000,81,,,,,,,Carton,,3500,4000,6.8,,,
APEX KITCHEN CLEANER 750,Cleaning - Bleach & Disinfectant,,,16,Piece,333,750,45,,,,,,,Carton,,4000,9000,3.8,,,
APTAMIL 6*800G 1,Baby Care - Infant Formula,,,0,Piece,2800,3250,8,,,,,,,Carton,6,16800,19500,1.3,,,"Name contains ""6*800G"" — suggests 6 units per pack — pre-filled as L2 qty"
APTAMIL 6*800G 2,Baby Care - Infant Formula,,,0,Piece,2850,3333,6,,,,,,,Carton,6,17100,20000,1,,,"Name contains ""6*800G"" — suggests 6 units per pack — pre-filled as L2 qty"
APTAMIL 6*800G 3,Baby Care - Infant Formula,,,0,Piece,2800,3250,30,,,,,,,Carton,6,16800,19500,5,,,"Name contains ""6*800G"" — suggests 6 units per pack — pre-filled as L2 qty"
AQSA RICE,Staples - Rice,,,16,Kilogram (1kg),105,130,0,,,,,,,,,,,,,,
AQSA RICE    SB3,Staples - Rice,,,16,Carton,2780,2900,0,,,,,,,Carton,,2780,2900,0,,,
Aqua Clear Mineral Water 1.5L,Beverages - Water,,,16,Carton,755,500,0,,,,,,,Carton,,755,500,0,,,
Aqua Clear Mineral Water 1L,Beverages - Water,,,16,Carton,530,600,8,,,,,,,Carton,,530,600,8,,,
Aqua Clear Mineral Water 500ml,Beverages - Water,,,16,Carton,285,350,26,,,,,,,Carton,,285,350,26,,,
Aquamist Mineral Water 500Ml,Beverages - Water,,,16,Carton,120,17,0,,,,,,,Carton,,120,17,0,,,
Arabian Chocolate 350g,Beverages - Soda,,,16,Piece,233,350,108,,,,,,,Carton,,2800,3500,9,,,
ARABIAN MIX 12*350G,Nuts,,,16,Piece,275,350,0,,,,,,,Carton,12,3300,3500,0,,,"Name contains ""12*350G"" — suggests 12 units per pack — pre-filled as L2 qty"
ARABIAN NIGHTS PERFUME,Personal Care - Perfume,,,16,Piece,900,1500,4,,,,,,,,,,,,,,
ARABIAN NIOR PARFUM,Other - General Merchandise,,,16,Piece,900,1500,0,,,,,,,,,,,,,,
ARAFIAH PERFUME,Beverages - Juice & Drinks,,,16,Piece,1450,1500,1,,,,,,,,,,,,,,
ARAN CHOCOLETE 100PC,Snacks - Chocolate,,,16,Packet,675,1000,0,,Packet,100,675,1000,0,,,,,,,,"Name contains ""100PC"" — suggests 100 units per pack — pre-filled as L1 qty"
ARBEL BALBALAAR,Other - General Merchandise,,,16,Piece,50,120,0,,,,,,,,,,,,,,
ARBEL M CIDI-STT,Staples - Pasta & Noodles,,,16,Carton,1150,1250,0,,,,,,,Carton,,1150,1250,0,,,
ARBEL M FUSULI-STT,Staples - Pasta & Noodles,,,16,Carton,1150,1250,0,,,,,,,Carton,,1150,1250,0,,,
ARBEL SP,Staples - Pasta & Noodles,,,16,Kilogram (0.5kg),58,90,0,,,,,,,,,,,,,,
ARBEL SP-STT,Staples - Pasta & Noodles,,,16,Carton,1050,1250,0,,,,,,,Carton,,1050,1250,0,,,
ARCO CHOCOLAT,Beverages - Soda,,,16,Piece,222,300,0,,,,,,,Carton,,2220,2600,0,,,
ARD AL NASEEM ATTAR,Other - General Merchandise,,,16,Piece,700,1000,0,,,,,,,,,,,,,,
Arden Macaroni Pasta,Staples - Pasta & Noodles,,,16,Piece,92,2000,0,,Box,,1850,2000,0,,,,,,,,
ARGAN CONDITIONER 1000ML,Personal Care - Hair Care,,,16,Piece,380,450,8,,,,,,,Carton,,9120,10800,0.3,,,
ARGAN OIL 144*100ML,Cooking Oil,,,16,Piece,230,280,6,,,,,,,Carton,144,33120,35000,0,,,"Name contains ""144*100ML"" — suggests 144 units per pack — pre-filled as L2 qty"
Argan Oil Shampoo 900ml,Personal Care - Hair Care,,,16,Piece,390,479,1,,,,,,,Carton,,9360,11500,0,,,
ARGAN TREATMENT 1000ML,Other - General Merchandise,,,16,Piece,350,400,57,,,,,,,Carton,,8400,9000,2.4,,,
ARIA M SMALL,Other - General Merchandise,,,16,Piece,90,100,40,,,,,,,Carton,,1800,4000,2,,,
ARIA SP 500G,Staples - Pasta & Noodles,,,16,Carton,1300,1400,0,,,,,,,Carton,,1300,1400,0,,,
Ariel Liquid Detergent,Cleaning - Detergent,,,16,Carton,1300,1500,0,,,,,,,Carton,,1300,1500,0,,,
Ariel Washing Powder 1Kg,Cleaning - Detergent,,,16,Kilogram (1kg),386,433,93,,,,,,,Carton,,4638,5200,7.8,,,
Ariel Washing Powder 2Kg,Cleaning - Detergent,,,16,Piece,350,1500,0,,,,,,,,,,,,,,
Ariel Washing Powder 3.5Kg,Cleaning - Detergent,,,16,Piece,1076,1450,44,,,,,,,Carton,,4303,5800,11,,,
Ariel Washing Powder 30g,Cleaning - Detergent,,,16,Carton,1200,1400,0,,,,,,,Carton,,1200,1400,0,,,
Ariel Washing Powder 500g,Cleaning - Detergent,,,16,Piece,211,250,6,,,,,,,Carton,,4625,6200,4,,,
Ariel Washing Powder 80g,Cleaning - Detergent,,,16,Carton,1742,2500,20,,,,,,,Carton,,1742,2500,20,,,
ARTA SP 20*500G,Staples - Pasta & Noodles,,,16,Piece,88,100,4,,,,,,,Carton,20,1750,1950,0.2,,,"Name contains ""20*500G"" — suggests 20 units per pack — pre-filled as L2 qty"
ARYUF CHINES WAIBS,Snacks - Biscuits & Cookies,,,16,Carton,1200,1500,0,,,,,,,Carton,,1200,1500,0,,,
ARYUV ADULT EXTRA LARGE,Other - General Merchandise,,,16,Piece,640,600,0,,,,,,,Carton,,3840,4000,0,,,
ARYUV ADULT LARGE 10PCS,Other - General Merchandise,,,16,Piece,640,1667,6,,,,,,,Carton,10,3840,5000,1,,,"Name contains ""10PCS"" — suggests 10 units per pack — pre-filled as L2 qty"
ARYUV POCKET TISSUES*30PC,Household - Paper Products,,,16,Carton,2400,3500,0,,Dozen (12),30,80,117,0,Carton,,2400,3500,0,,,"Name contains ""30PC"" — suggests 30 units per pack — pre-filled as L1 qty"
ASAD PARFUM,Other - General Merchandise,,,16,Piece,1100,2000,1,,,,,,,,,,,,,,
ASLOOBI PARFUM 100MI.E,Other - General Merchandise,,,16,Piece,950,1100,0,,,,,,,,,,,,,,
ASMA ATAR,Other - General Merchandise,,,16,Piece,570,1000,0,,,,,,,,,,,,,,
ASMA RICE 25KG SB3,Staples - Rice,,,0,Bag,2870,3300,0,,,,,,,Bag,,2870,3300,0,,,
ASTERA HAIR OIL 24*200M,Cooking Oil,,,16,Piece,150,350,0,,,,,,,,,,,,,,
ATAR GEL CTN,Other - General Merchandise,,,16,Piece,360,800,12,,,,,,,Carton,,25920,17500,0.2,,,
ATAR JAMIILAH,Condiments - Honey & Spreads,,,16,Piece,570,1500,0,,,,,,,,,,,,,,
ATAR KHADIIJA,Other - General Merchandise,,,16,Piece,570,1500,0,,,,,,,,,,,,,,
ATAR KHAMSA NUJUM,Other - General Merchandise,,,16,Piece,650,850,0,,,,,,,,,,,,,,
ATAR KHAMSA WARDAAD,Other - General Merchandise,,,16,Piece,650,1200,0,,,,,,,,,,,,,,
ATAR MARYAM,Other - General Merchandise,,,16,Piece,850,950,0,,,,,,,,,,,,,,
ATAR MAYSOON,Other - General Merchandise,,,16,Piece,590,800,0,,,,,,,,,,,,,,
ATAR RAMESAH,Other - General Merchandise,,,16,Piece,590,800,0,,,,,,,,,,,,,,
ATAR SALAM,Other - General Merchandise,,,16,Piece,570,1400,0,,,,,,,,,,,,,,
ATAR SUMAYAH,Other - General Merchandise,,,16,Piece,570,1300,0,,,,,,,,,,,,,,
ATTA MARK1 2KG,Other - General Merchandise,,,16,Bale,3516,2500,0,,,,,,,Bale,,3516,2500,0,,,
ATTAR AL TOWBA,Other - General Merchandise,,,16,Piece,800,1000,16,,,,,,,,,,,,,,
AUTHENTIC  POUR HOMME PARFUM,Other - General Merchandise,,,16,Piece,680,1000,0,,,,,,,,,,,,,,
AVENA OIL 4*5LTR,Cooking Oil,,,16,Piece,1088,1625,0,,,,,,,Carton,4,4350,6500,0,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
AVIATOR PERFUME,Personal Care - Perfume,,,16,Piece,1150,1500,1,,,,,,,,,,,,,,
Axe Roll On Dark Temptation 50Ml,Personal Care - Deodorant,,,16,Piece,120,500,0,,,,,,,,,,,,,,
AYA PISHORI 25KG STT,Staples - Rice,,,0,Bag,4100,4500,0,,,,,,,Bag,,4100,4500,0,,,
AYAAN NATURALS SHAMPOO,Personal Care - Hair Care,,,16,Piece,380,450,19,,,,,,,Carton,,4560,5500,1.6,,,
Azam Energy Drink,Beverages - Juice & Drinks,,,16,Box,781,900,13,,Box,,781,900,13,,,,,,,,
AZMAT SHARBAT 25KG SB3,Other - General Merchandise,,,0,Bag,3190,3300,0,,,,,,,Bag,,3190,3300,0,,,
BAARI RICE 25KG STT,Staples - Rice,,,16,Bag,3270,3500,0,,,,,,,Bag,,3270,3500,0,,,
Baby Bar Soap 100g,Personal Care - Soap,,,16,Piece,69,100,112,,,,,,,Carton,,1650,1700,4.7,,,
BABY COLA OIL200ML,Beverages - Soda,,,16,Piece,103,350,0,,,,,,,,,,,,,,
BABY GIFT BOX,Baby Products,,,16,Carton,8160,9000,0,,Outer,,340,500,0,Carton,,8160,9000,0,,,
Baby Joy Jumbo Diapers,Baby Care - Diapers,,,16,Piece,1100,1333,1,,,,,,,Carton,,3300,4000,0.3,,,
BABY STIL 5,Baby Products,,,16,Piece,850,1000,0,,,,,,,Carton,,3400,3450,0,,,
BABYLON CHOCOLETE OUT,Snacks - Chocolate,,,16,Outer,500,600,0,,Outer,,500,600,0,,,,,,,,
BADE AL OUD PERFUME,Personal Care - Perfume,,,16,Piece,1000,1500,1,,,,,,,,,,,,,,
BAGS,Other - General Merchandise,,,16,Piece,10,20,0,,,,,,,,,,,,,,
BAHAR M BIG ELBOW STT,Staples - Pasta & Noodles,,,16,Piece,90,100,1965,,,,,,,Carton,,1800,2000,98.3,,,
BAHAR M CIDI STT,Staples - Pasta & Noodles,,,16,Piece,90,100,2,,,,,,,Carton,,1800,2000,0.1,,,
BAHAR M FUSULI-STT,Staples - Pasta & Noodles,,,16,Piece,90,210,1030,,,,,,,Carton,,1800,2100,51.5,,,
BAHAR M SMALL STT,Other - General Merchandise,,,16,Piece,90,100,1024,,,,,,,Carton,,1800,2000,51.2,,,
